Date,UNH,JNJ,PFE,LLY,TMO,MRK,ABT,DHR,BMY,MDT,AMGN,CVS,ANTM,ISRG,SYK,CI,REGN,BDX,GILD,EW,VRTX,BSX,HUM,ILMN,CNC,MCK,IDXX,BAX,A,RMD,BIIB,MTD,ALGN,WST,CERN,ZBH,LH,STE,ABC,PKI,COO,MOH,HOLX,WAT,CAH,DGX,TECH,TFX,INCY,CRL,ABMD,VTRS,HSIC,BIO,UHS,XRAY
2008/10/20,21.19762993,43.16468811,9.742704391,21.55879593,42.25504684,18.09913635,20.1377964,20.48819923,11.54031086,30.94863892,40.90383911,22.24606323,35.3686409,21.56888962,44.94928741,26.94387245,19.39999962,55.86676025,18.52957916,4.434999943,26.04999924,8.899999619,34.64846039,32.18999863,5,40.78919601,21.46500015,26.43889427,15.54661465,15.65510368,47.49000168,83.06999969,6.159999847,18.95134926,8.740133286,51.03121948,61.29999924,25.90607071,13.32245922,20.18507004,22.80648804,18.61333275,14.69999981,48.86000061,20.69223404,33.92040253,58.63482285,44.01599121,5.710000038,41.54000092,13.57999992,7.743599415,18.77254868,89.34999847,20.30005646,28.85433578
2008/10/21,20.98158264,42.64219284,9.742704391,21.29326439,41.28840637,17.49778748,19.59192276,20.88358116,11.57793808,30.62819099,40.12181091,22.94776344,35.25912094,20.02444458,43.07988358,27.00202751,19.25,55.2182312,18.34225082,4.502500057,24.45999908,8.619999886,34.18380737,32.31999969,4.875,40.03433609,20.47500038,26.12575531,14.81654549,15.07480907,43.99000168,83.19000244,5.78000021,18.27657127,8.469272614,48.86783218,61.24000168,24.67760468,13.42874527,19.1303463,23.2921505,17.81333351,14.34000015,46.81000137,20.27537537,35.77568054,57.44307709,42.42634201,5.679999828,40.40999985,13.18000031,7.57884264,18.47058868,85.44999695,20.26722717,28.7536087
2008/10/22,19.99274445,41.14174271,9.405581474,20.30067635,39.26896667,16.35345078,18.84659386,20.43427467,10.99465752,29.53273773,38.10536194,22.24606323,33.53196335,19.2322216,41.4284668,23.67765427,18.69000053,54.14504623,18.52160835,4.144999981,22.76000023,8.18999958,31.22279358,25.13999939,4.747499943,37.48556519,19.38500023,25.09747887,13.84528828,14.85988617,40.72000122,77.54000092,5.480000019,17.55327225,8.877984047,45.99219894,58.47999954,24.04405403,13.15485477,18.2120285,21.34949303,16.40666771,13.81000042,44.09999847,19.61241722,33.59392929,58.14959335,39.2052536,5.389999866,40.09999847,12.27000046,6.813205242,17.72156906,81.12000275,19.71845245,27.11446762
2008/10/23,19.88472366,41.83168411,9.607853889,21.16682243,36.76142883,16.84387589,19.25250244,19.97778893,11.3207922,29.04834747,42.59059525,22.26149368,34.66936874,19.29888916,40.58177567,23.66796303,17.70000076,54.09098434,18.12303543,4.259167194,21.65999985,8.449999809,32.58032227,23.32999992,4.492499828,36.83725739,18.61499977,25.45293236,13.50632858,14.41284466,41.38999939,74.01000214,5,17.39891052,7.978334427,39.7869072,59.90000153,24.04405403,13.073102,16.17532921,18.04893875,14.7266674,13.06000042,40.25,19.26085663,33.00471497,55.73202896,38.58613586,4.989999771,32.84999847,12.56999969,6.415848732,17.41960716,78.73000336,18.72878075,26.34526634
2008/10/24,19.03714943,40.71974182,9.310067177,20.06043053,35.8330574,15.96811485,19.0005703,19.50331879,11.06364059,28.17644691,43.83267212,21.41328812,34.0374794,17.63111115,39.91950226,23.09613037,16.14999962,51.68215179,17.26610756,4.244999886,20.96999931,7.929999828,33.04496384,25.12999916,4.400000095,34.8391037,15.90999985,24.62777901,12.87403488,13.52735138,41.41999817,71.77999878,5.619999886,16.70206451,8.133112907,38.31792068,60.15000153,23.94360542,12.5334959,15.8752861,17.07760811,13.89333344,12.72000027,41.58000183,18.02534485,32.38362885,54.99142075,37.11364746,4.630000114,32.11999893,12.01000023,6.066951275,17.24313736,74.87000275,18.68656158,25.56690598
2008/10/27,16.97639084,40.29105377,9.208932877,19.21957588,33.78489304,15.65866947,18.60515785,18.96415138,11.64066601,27.00645638,41.96957779,18.8301239,32.44513321,17.22333336,40.23806,20.09160042,15.46000004,49.35050583,16.8994236,4.075832844,21.20999908,7.110000134,28.06134224,24.05999947,4.432499886,32.7521286,14.82999992,23.55718422,12.33299923,12.82240009,40.25,69.27999878,5.480000019,16.03609848,8.273381233,35.02386856,58.04000092,22.83103561,11.96527481,14.72055531,16.38380241,12.96000004,11.42000008,37.84999847,17.70390892,32.16865158,51.75664139,36.36904144,3.74000001,32,10.75,5.59206152,16.63137245,72,17.24191284,24.01018333
2008/10/28,18.65491295,42.99721527,10.01239586,21.10360146,34.46442413,17.33430672,19.24550819,20.47740364,12.72570324,29.59980774,46.00245285,21.45184898,33.97849655,18.39333344,43.11342239,21.56479073,16.75,50.59353256,17.84403419,4.267499924,20.71999931,7.710000038,29.08175468,26.25,4.815000057,35.4341011,16.88500023,25.0001564,13.78661919,13.52305126,42.34999847,71.40000153,5.980000019,16.318367,8.776409149,36.59967041,60.27999878,23.31779289,12.88913918,15.39338589,15.57105255,13.65333271,11.48999977,39.70000076,19.19555473,33.76115417,54.96588898,40.8367424,3.849999905,34.27000046,11.23999977,6.318932533,17.28235245,75.23999786,17.34980011,25.90571594
2008/10/29,17.71593094,41.21543121,9.658421516,20.25009537,35.23965836,16.74462891,18.95508003,20.41270447,12.43092155,28.68319511,45.14374542,20.28748894,31.14766121,18.81666756,42.40087509,19.23870277,17.43000031,51.08766556,18.19079399,4.304166794,22.29999924,8.029999733,27.70601654,28.09000015,4.644999981,31.62427139,17.55999947,24.75894737,13.88439941,14.03027534,41.93999863,74.02999878,6.760000229,16.68442535,8.263706207,36.97358704,60.04999924,24.69305992,11.98163033,15.28427315,15.34308529,13.19999981,11.32999992,42.02000046,17.63360214,34.34242249,56.59180832,41.51441193,3.75,34.79999924,11.51000023,6.764746666,18.06274414,76.94999695,17.82822037,27.68221474
2008/10/30,18.60505676,40.57238007,10.03487396,20.75588036,38.09176254,17.62622643,19.09154129,20.97703552,12.86368084,29.39113808,46.40879822,22.60848236,31.29089355,18.90555573,44.04392242,15.1001997,18.13999939,52.68582916,18.6172657,4.355833054,24.72999954,8.710000038,27.0409317,31.19000053,4.607500076,32.35250473,17.57999992,25.2752037,14.68617439,14.59767818,40.29999924,77.41999817,6.889999866,16.95346069,8.534568787,39.59994888,60.95999908,25.51976204,12.3372736,16.04803658,15.6899929,13.94666672,11.89999962,44.20999908,18.35180473,34.97146225,58.01877213,43.59765244,4.21999979,36.11000061,13.72999954,7.918049335,18.2156868,80.11000061,19.14622498,28.01187134
2008/10/31,19.71853256,41.08816528,9.950592041,21.38177681,38.85741806,18.06994438,19.2979908,21.29333687,12.88877106,30.0543766,45.91811752,23.63404274,32.7484436,19.19888878,44.81515884,15.79802513,19.29999924,53.58143616,18.27449226,4.403333187,26.20999908,9.029999733,26.95893097,30.82999992,4.710000038,32.67220306,17.59499931,25.59680748,14.4645443,14.72663021,42.54999924,76.54000092,6.929999828,17.60619164,9.003740311,41.33599091,61.49000168,26.30010033,12.7828598,16.31171227,16.33424187,14.84666729,12.23999977,43.79999924,19.18551445,37.26467514,58.9757843,44.33392334,4.150000095,35.83000183,14.57999992,8.3057127,18.35686302,85.37999725,19.71845245,27.81957436
2008/11/3,19.51909828,40.96759033,9.978686333,21.50190163,38.91484833,17.49778748,19.59542084,21.41914558,12.88877106,30.32265091,47.19083405,23.77283669,33.48983765,20.37555695,45.32653046,18.58933449,19.87999916,53.57371521,18.85640717,4.480833054,26.87999916,8.840000153,30.37548637,30.81999969,4.802499771,32.42355728,18.05999947,25.89302063,14.99254036,15.43158531,46.31000137,78.65000153,7,17.71204185,9.008577347,40.2053299,61.43000031,27.11909485,12.81556129,16.7208786,17.19655037,15.16666698,12.59000015,45.00999832,19.35627937,37.67074966,60.93251801,44.27534866,4.349999905,35.90000153,15.01000023,8.499546051,18.36078453,86.83999634,20.23908615,28.87265205
2008/11/4,18.96235847,41.45658493,10.34389496,22.22263336,41.00127792,18.1750412,19.73888779,22.38603973,13.541049,30.06928635,46.43946838,24.4976635,33.35504532,22.5466671,46.25701523,17.45536613,19.77000046,54.25312805,18.76074982,4.507500172,28.54000092,8.93999958,30.57592964,31.26000023,5,33.74676132,18.82500076,26.03265572,16.06158447,15.68949413,47.15999985,82.55999756,7.010000229,16.318367,9.472912788,41.26477051,63.22999954,27.38179588,12.80738354,17.65738869,16.79017639,15.81333256,13.64000034,45.20999908,20.10460854,38.30776215,60.55656815,45.22076416,4.239999771,35.18999863,15.25,8.809678078,18.13725471,87.80000305,19.34791565,29.0466423
2008/11/5,18.92081833,40.09010696,9.720630646,21.34383774,38.44587326,16.76798058,19.30849075,21.35084534,13.0142107,29.16757965,45.55775833,23.66488838,32.44513321,20.74666786,44.43791962,16.62185097,18.34000015,54.04468155,17.94367981,4.483333111,27.52000046,8.770000458,32.80807495,29.29000092,5.125,33.32049942,18.12000084,25.49524498,15.16202736,15.35422039,44.84000015,78.30999756,6.900000095,15.89937687,9.475331306,40.54365158,62.09999847,26.66324806,12.63978004,17.04819679,16.34415627,15.33333302,13.11999989,43.09999847,19.75304413,36.842659,58.61689377,44.35903168,3.819999933,33.90000153,14.52000046,8.829060555,16.32549095,79.81999969,18.65841675,26.77565575
2008/11/6,18.41393852,38.79730225,9.360394478,20.78116989,36.02447128,16.26587105,18.8046093,20.19704628,12.3807478,28.6235714,43.36497116,23.01716423,32.03229904,19.37333298,42.83678436,14.84820461,17.61000061,52.78620911,17.67663574,4.394166946,26.88999939,8.170000076,31.82411385,27.70999908,4.889999866,33.80893707,17.45499992,24.56853104,13.96913719,13.93571281,44.59999847,73.69000244,6.849999905,15.7626543,9.216563225,40.05398178,62.06000137,25.78815269,12.32092381,16.39355087,15.03582954,14.36666679,12.39000034,42.18000031,19.30605698,36.32509613,57.57442474,41.41402435,3.99000001,26.87000084,14.34000015,8.819369316,16.3921566,78.84999847,18.95391273,26.49177933
2008/11/7,18.6382885,40.33794022,9.64057827,21.62202263,36.11060333,16.88474846,19.35047913,20.53132439,12.88877106,29.66686249,45.13607788,23.36415482,32.61363983,20.27444458,42.66913605,15.36188507,18.35000038,54.60827255,17.95165253,4.4375,27.73999977,8.550000191,32.41630936,27.39999962,4.887499809,33.96879196,18,25.1144104,14.23639965,15.32841969,46.34999847,76,6.889999866,15.78470135,9.233489037,39.48420334,63.65999985,25.74168777,12.3658905,16.86635208,15.89813614,14.89999962,12.78999996,43.00999832,20.02927399,37.08153152,59.16377258,41.95785141,4.389999866,27,14.46000004,9.042276382,17.06274414,70.01000214,19.13684082,27.4716053
2008/11/10,17.81564903,40.197258,9.491910934,22.04561234,35.60335159,16.29506493,19.3784771,20.50616646,12.78214264,29.92023468,45.06707001,22.89379311,31.92276955,19.5577774,41.51227951,14.5865202,19.06999969,54.63915634,17.87193298,4.449166775,27.29999924,8.270000458,32.0883255,27.01000023,4.494999886,32.9830246,17.37999916,25.85492325,14.15166092,15.01463032,46.72000122,78.33999634,6.860000134,15.60830021,9.463240623,37.92621231,63.5,25.65650177,12.41495037,16.77542496,15.56113911,15.40666676,12.48999977,42.50999832,20.37079811,36.98597336,58.99287796,42.37616348,4.130000114,26.87999916,14.71000004,9.090734482,17.00784302,67.41000366,18.8178978,26.64745331
2008/11/11,16.75203323,39.88914108,9.589116096,21.47661018,34.47399902,16.08487892,19.30499268,19.99934769,12.56890488,29.86807823,44.79871368,22.26149368,30.53262711,18.81888962,41.17695618,13.71423626,18.59000015,52.708992,17.59293556,4.498332977,27.01000023,7.880000114,31.21368599,26.38999939,4.412499905,32.23704147,16.59499931,25.31328773,13.64973354,14.97594261,46.79999924,77.91999817,6.75,15.42747116,9.661550522,36.2613678,62.61999893,24.85110855,12.00615501,16.2208004,15.05565262,14.69333267,12.52999973,41.06999969,19.73797607,36.8745079,58.40327454,41.80723953,4.130000114,25.63999939,14.61999989,9.614081383,16.87843132,65.26000214,18.94922638,27.16942024
2008/11/12,15.68009949,38.79730225,9.051621437,20.50855827,31.49748421,15.60029125,19.07054901,19.19419289,12.26157475,28.10937881,42.52926636,21.8373909,28.8054657,17.99333382,40.20454025,12.60934448,17.03000069,51.78250504,17.7164917,4.479166985,26.70000076,7.010000229,29.79239273,24.25,4.28000021,30.2388916,15.99499989,25.08055115,12.62632942,14.15493679,44.25999832,74.19999695,6.510000229,15.01289654,8.943282127,35.93196106,62.65999985,24.2160778,11.64233303,14.99331856,14.18343735,14.2266674,12.98999977,38.41999817,18.6581707,35.77568054,57.48898315,40.10564423,3.670000076,24.76000023,14.03999996,8.829060555,16.20392227,61.52000046,18.29256821,26.72071266
2008/11/13,17.31708145,42.13311768,9.566244125,21.87409019,34.76112747,16.65704536,19.99432564,20.39832878,12.5375433,29.75629234,45.695755,23.69573021,29.90916061,17.73777771,39.98659515,12.80318451,17.69000053,54.20679474,18.85242462,4.568333149,28.95000076,7.809999943,28.66265869,25.21999931,4.577499866,32.17488098,17.27000046,26.25693512,13.66929245,15.55624294,46.70000076,80.23999786,7.159999847,15.95671368,9.569649696,38.98563004,64.62999725,24.00698471,12.38224316,15.82982159,15.76928425,15.17333317,14.5,40.77000046,18.71340752,37.94944763,59.52264023,43.59308243,4.150000095,24.26000023,15.06000042,9.03258419,16.97647095,69.51000214,19.55897903,27.48075294
2008/11/14,16.6356945,40.22406387,9.308933258,20.55343628,32.57897568,15.9564352,19.26650238,19.38110542,12.28039455,27.90816689,44.6453743,22.60076714,29.69011307,16.48999977,37.3794899,12.55119228,17.17000008,52.26120758,18.70096016,4.442500114,27.5,7.389999866,27.90645409,23.86000061,4.315000057,31.31344986,16.46500015,25.38946342,13.52588367,14.75672245,43.52000046,75.58000183,6.869999886,15.50685692,8.752227783,37.39202881,64.62000275,23.78240585,12.25551701,15.27517986,15.21423721,14.84000015,14.14000034,39.13999939,18.12579536,38.21220398,56.36109543,40.71215057,3.589999914,23.51000023,13.97000027,8.848443985,16.01568604,66,18.30195808,26.95879745
2008/11/17,15.69671535,39.70159912,9.103084564,20.59831047,31.14336395,15.17409134,19.35747528,18.95336723,12.35565472,27.14060402,43.00462341,21.79112816,28.69594765,13.70444393,36.59988785,11.80490589,17.67000008,50.16889191,18.29841042,4.329166889,26.67000008,7.190000057,26.62183189,24.39999962,4.300000191,30.22999763,15.80500031,24.57275963,12.46336842,15.07910919,43.13000107,74.48000336,6.789999962,15.47598934,8.713533401,35.40667343,63.43999863,24.22382164,12.43947411,15.17517281,14.62945461,14.92666721,13.27999973,37.11000061,17.48794746,36.78691864,56.75415039,40.23198318,3.660000086,23.37999916,13.78999996,8.509237289,15.7372551,65.05999756,18.55055046,25.79583549
2008/11/18,15.81305313,40.78673553,9.314652443,21.37403297,30.6456852,15.25582409,19.79488182,19.43142891,12.85114288,23.54868507,43.19630432,22.22294235,28.62854576,13.72333336,34.22750854,12.16350937,17.05999947,50.97955704,18.02339172,4.207499981,26.31999969,7.260000229,27.50558472,23.37000084,4.375,29.99910164,15.92500019,24.2469368,12.38514423,15.41438961,43.79999924,73.55000305,6.989999771,15.58183193,8.783665657,35.4423027,63.59999847,23.96052361,12.59890175,15.52977276,14.1735239,14.99333286,13.57999992,38.40000153,17.09620667,37.28059006,56.83959961,40.32463455,3.430000067,23.76000023,13.65999985,8.518929482,15.66274548,69.5,18.69125175,26.27201462
2008/11/19,14.7328043,38.93125916,8.897237778,20.13672256,30.38726997,14.77706814,19.07754326,18.49329185,12.71315861,23.250597,41.12618256,21.46726608,27.05305672,13.45444393,32.55092621,10.54493904,15.65999985,47.80635834,17.21827698,3.994167089,23.37000084,6.550000191,25.4100914,22.79999924,4.235000134,28.40946007,15.36499977,22.58391953,11.49862671,14.67075348,41.06000137,66.55000305,6.119999886,14.86293983,8.17906189,33.35902786,60.36000061,22.84536743,12.10426617,14.86602783,13.7473259,14.71333313,12.89000034,36.18000031,16.03145409,34.98738098,55.36993027,37.46897888,3.049999952,21.34000015,12.31000042,7.6854496,14.46274471,69.20999908,17.30759239,24.31237411
2008/11/20,13.54454231,37.38392639,8.262535095,19.17508125,27.65959167,13.7553463,17.61838722,17.78159714,12.09223938,21.64093781,38.43504333,20.66532898,24.80354309,12.41555595,30.58093452,8.606533051,14.27000046,46.52473068,16.5526619,3.75,22.17000008,5.480000019,23.20527267,21.03000069,4.057499886,25.39888573,13.72000027,20.52314758,10.55996609,13.34252071,39.77000046,60.63999939,6.130000114,13.72947693,7.637339115,31.09770393,58.88999939,20.42917633,11.27161026,13.8749609,10.84324169,14.11999989,11.72999954,34.77000046,14.25353432,32.61454773,52.64413452,35.37147522,2.49000001,20.78000069,11.35999966,7.084570408,12.98039246,69.87000275,15.3985939,22.08716774
2008/11/21,14.25085926,39.41016769,8.96013546,19.50844955,28.45397377,14.24577618,18.02778625,19.02885246,11.98561382,23.08665657,42.09223938,20.34918594,25.34275246,13.14000034,31.34378624,8.548378944,13.94999981,47.19644547,16.5247612,4.049167156,21.13999939,6.139999866,22.37618828,19.82999992,4.28249979,27.00630188,14.27000046,21.66990089,11.27048206,14.18931866,39.63999939,65.75,6.389999866,13.96322536,7.75826025,33.19876862,59.70999908,21.19584846,12.20270824,14.72963905,11.4181118,14.40666676,11.84000015,36.84999847,15.18267632,34.30261612,51.84091568,35.43886566,2.819999933,21.45000076,11.82999992,7.57884264,13.43529415,69.94999695,15.21566486,23.4973793
2008/11/24,15.84628677,39.92347336,9.171701431,20.56626511,30.72224808,14.85297108,17.76885414,20.06404877,12.60653687,23.00467873,42.92795563,21.88365746,26.84242058,13.88222218,32.55931854,10.09910679,14.57999992,48.42402649,17.03095055,4.170000076,22.59000015,6.039999962,24.08901978,20.59000015,4.349999905,27.94765282,14.96000004,22.27502251,12.13092327,14.87277985,40.63999939,69.91999817,7.010000229,15.33926773,8.341095924,34.4451828,61.40999985,20.98675919,12.21090889,15.866189,11.85421944,15.19333267,13.51000023,41.22999954,15.97620869,35.17052078,54.28471756,35.88531494,2.920000076,21.96999931,13.02000046,8.470471382,13.98039246,70.83999634,15.85356617,23.68052292
2008/11/25,17.22567558,39.6465683,9.114520073,21.02784729,33.19150925,15.06899548,17.92280579,19.99934769,12.90131855,21.94647789,42.115242,21.44413185,28.58642578,13.82111073,31.51983261,11.18461514,14.60000038,48.25417709,17.59293556,4.083333015,23.02000046,6.119999886,25.57408905,21.96999931,4.394999981,29.28864861,14.67000008,22.61354256,12.09181595,14.49021339,40.72000122,71.56999969,7,15.04377079,8.524895668,33.7507515,61.56000137,21.09517288,12.21501446,15.6388855,11.74519253,15.50666714,13.94999981,38.84999847,15.71504974,34.44592667,52.16562653,37.57849884,3.150000095,22.40999985,13.06000042,8.722453117,13.79607773,72.59999847,16.68845367,23.89113617
2008/11/26,17.43340492,39.35612869,9.188858032,21.07272148,33.14365387,15.36091423,17.97530174,19.39908028,12.90131855,21.96883583,42.85895538,21.52123833,29.16775703,14.96333313,32.31620407,11.98905373,15.31999969,49.0957222,17.95564079,4.19166708,24.67000008,6.059999943,26.6673851,21.70999908,4.567500114,30.57214546,15.22999954,22.5416069,12.18307304,15.19087219,42,79.09999847,7.340000153,15.49362469,8.817523956,32.94060135,62.50999832,21.53659248,12.60878181,16.05713463,12.85528755,15.93999958,14.60999966,40.24000168,16.05155373,35.65623474,53.1824379,39.38961029,3.329999924,22.35000038,14.06000042,8.955051422,14.11372471,75.25,16.98461533,24.0742836
2008/11/28,17.45833397,39.56551361,9.394703865,21.89331627,34.14859772,15.60029125,18.33222008,19.99934769,12.98285007,22.74385834,42.58294296,22.30776024,29.99341583,14.72555637,32.62637329,11.73705959,15.46000004,49.04939651,17.85200691,4.147500038,24.59000015,6.170000076,27.54202843,22.01000023,4.625,31.14257813,15.45499992,22.38503838,12.27433491,15.62072468,42.31000137,82.25,7,15.65680695,8.701439857,33.22548676,63.36000061,21.41268539,12.85898972,16.42082405,13.28148365,15.79333305,14.06000042,41.22999954,16.33280373,37.08153152,52.98591614,39.91189194,3.339999914,22.79999924,14.03999996,9.119808197,14.01176453,74.16000366,17.46411133,23.8819809
